,fighters
185,Ronnie Lawrence
186,Peter Sobotta
187,Matt Dwyer
188,Pingyuan Liu
189,Ramona Pascual
190,Cory McKenna
191,Sean Strickland
192,Khamzat Chimaev
193,Robert Whiteford
194,Domingo Pilarte
195,Polyana Viana
196,Inoue Mizuki
197,Rafael Estevam
198,Steve Erceg
199,Kyoji Horiguchi
200,Tucker Lutz
201,Kailin Curran
202,Valentina Shevchenko
203,Dominic Waters
204,Jinh Yu Frey
205,Kevin Holland
206,Alexander Yakovlev
207,Ricky Rainey
208,Jason Knight
209,Cameron VanCamp
210,Bruno Souza
211,Quinton Jackson
212,Johnny Munoz
213,Ben Askren
214,Kevin Borjas
215,Jeff Molina
216,Billy Ray Goff
217,Askar Mozharov
218,Rani Yahya
219,Luke Rockhold
220,Chris Dempsey
221,Shane Burgos
222,Waldo Cortes-Acosta
223,Magomed Mustafaev
224,Jimmy Crute
225,Andre Muniz
226,Cody Pfister
227,Myktybek Orolbai
228,Renato Moicano
229,TJ Brown
230,Court McGee
231,Jared Cannonier
232,Carlos Felipe
233,Tatsuro Taira
234,Charles Johnson
235,Josh Quinlan
236,Calvin Kattar
237,Silvana Gomez Juarez
238,Oskar Piechota
239,Manuel Torres
240,Ion Cutelaba
241,Gabe Green
242,Leonardo Santos
243,Matt Sayles
244,Allan Nascimento
245,Justin Gaethje
246,Batgerel Danaa
247,Steve Kennedy
