,fighters
1249,Juliana Miller
1250,Joe Merritt
1251,Daniel Lacerda
1252,Neil Magny
1253,Warlley Alves
1254,Louis Cosce
1255,Arjan Bhullar
1256,Farid Basharat
1257,Antonio Braga Neto
1258,Kyle Daukaus
1259,Assu Almabayev
1260,Miesha Tate
1261,Holly Holm
1262,Marcus McGhee
1263,Ludovit Klein
1264,Natan Levy
1265,Gegard Mousasi
1266,Chris Barnett
1267,Brogan Walker
1268,Manolo Zecchini
1269,Godofredo Pepey
1270,Tiago dos Santos e Silva
1271,Tatsuya Kawajiri
1272,Lina Lansberg
1273,Ed Herman
1274,Isabela de Padua
1275,Ildemar Alcantara
1276,Vinicius Oliveira
1277,Carlton Minus
1278,Darrell Montague
1279,Zhang Weili
1280,Gabriel Bonfim
1281,Viviane Pereira
1282,Hyun Gyu Lim
1283,Jai Herbert
1284,Yana Santos
1285,Ariane Lipski
1286,Morgan Charriere
1287,Aljamain Sterling
1288,Kyle Bochniak
1289,Abus Magomedov
1290,Casey Kenney
1291,Raquel Pennington
1292,Dylan Andrews
1293,Ian Garry
1294,Mounir Lazzez
1295,Youssef Zalal
1296,Gilbert Burns
1297,Alptekin Ozkilic
1298,Eryk Anders
1299,Leon Edwards
1300,Punahele Soriano
1301,Renan Barao
1302,Julio Arce
1303,Lerone Murphy
1304,Tanner Boser
1305,Constantinos Philippou
1306,SeungGuk Choi
1307,KJ Noons
1308,Nick Aguirre
1309,Niko Price
1310,Nicolae Negumereanu
1311,James Vick
1312,JJ Aldrich
1313,Rostem Akman
1314,Vinc Pichel
1315,Zviad Lazishvili
1316,Sodiq Yusuff
1317,Matheus Nicolau
1318,Evan Dunham
1319,Alexander Hernandez
1320,John Castaneda
1321,Devin Clark
1322,Frank Camacho
1323,Jack Hermansson
1324,Leo Kuntz
1325,Levan Makashvili
1326,Talita Bernardo
1327,Jeremy Kimball
1328,Yair Rodriguez
1329,Lucas Alexander
1330,Francisco Rivera
1331,Vince Cachero
1332,Christian Duncan
1333,HyunSung Park
1334,Montana De La Rosa
1335,Marcus Brimage
1336,Oliver Enkamp
1337,Marcelo Guimaraes
1338,Brett Johns
1339,Movsar Evloev
1340,Martin Bravo
1341,Marcin Tybura
1342,Blake Bilder
1343,Johnny Case
1344,Nick Fiore
1345,Ryan MacDonald
1346,Walt Harris
1347,Zak Ottow
1348,Devin Powell
1349,Khama Worthy
1350,Blagoy Ivanov
1351,KB Bhullar
1352,Thiago Alves
1353,Azamat Murzakanov
1354,Montserrat Conejo
1355,Zabit Magomedsharipov
1356,Montserrat Rendon
1357,Yusuke Kasuya
1358,Lucie Pudilova
1359,Francisco Figueiredo
1360,Chase Sherman
1361,Parker Porter
1362,Dan Moret
1363,Royston Wee
1364,Mads Burnell
1365,Conor McGregor
1366,Robelis Despaigne
1367,Chas Skelly
1368,Justin Salas
1369,Sheldon Westcott
1370,Marcin Prachnio
1371,Khusein Askhabov
1372,Claudio Puelles
1373,Andre Petroski
1374,Danaa Batgerel
1375,Billy Quarantillo
1376,Kazula Vargas
1377,Sasha Palatnikov
1378,Philipe Lins
1379,Dennis Siver
1380,Rafael Fiziev
1381,Hector Sandoval
1382,Amanda Cooper
1383,Bryce Mitchell
1384,Loma Lookboonmee
1385,Chris Cariaso
1386,Igor Araujo
1387,Payton Talbott
1388,Jalin Turner
1389,Nolan Ticman
1390,Marc-Andre Barriault
1391,Andrew Holbrook
1392,Jim Wallhead
1393,Mandy Bohm
1394,Claudio Silva
1395,Brad Riddell
1396,Arman Tsarukyan
1397,Impa Kasanganay
1398,Demetrious Johnson
1399,Gray Maynard
1400,Cristiane Justino
1401,Mauricio Ruffy
1402,Matt Wiman
1403,Karolina Kowalkiewicz
1404,Michael Johnson
1405,Jordan Johnson
1406,Jorge Masvidal
1407,Maycee Barber
1408,Felipe Arantes
1409,Gian Villante
1410,Terrion Ware
1411,Ketlen Vieira
1412,Norma Dumont
1413,Ryan Jimmo
1414,CJ Vergara
1415,Henry Briones
1416,Nate Marquardt
1417,Karl Williams
1418,Chris de la Rocha
1419,Allen Crowder
1420,Michinori Tanaka
1421,Junior Dos Santos
1422,Omari Akhmedov
1423,Leonardo Guimaraes
1424,Carla Esparza
1425,DeAnna Bennett
1426,Kyle Stewart
1427,Luke Barnatt
1428,Luke Sanders
1429,Gregor Gillespie
1430,Liang Na
1431,Laureano Staropoli
1432,Chan-Mi Jeon
1433,Stephen Thompson
1434,JC Cottrell
1435,Modestas Bukauskas
1436,Cortney Casey
1437,Tony Kelley
1438,Anthony Birchak
1439,Mirsad Bektic
1440,Germaine de Randamie
1441,Aliaskhab Khizriev
1442,Danilo Belluardo
1443,Sara McMann
1444,Travis Browne
1445,Zhang Lipeng
1446,Azunna Anyanwu
1447,Daria Zhelezniakova
1448,Chris Duncan
1449,Kurt Holobaugh
1450,Jon Delos Reyes
1451,Dustin Jacoby
1452,Kamuela Kirk
1453,Diana Belbita
1454,Raoni Barcelos
1455,Yoshihiro Akiyama
1456,CB Dollaway
1457,Marlon Moraes
1458,Jose Torres
1459,Bharat Kandare
1460,Tae Hyun Bang
1461,Akbarh Arreola
1462,Dennis Bermudez
1463,Danny Roberts
1464,Abu Azaitar
1465,Michael Morales
1466,Nicholas Musoke
1467,Brian Ortega
1468,Rafael Cavalcante
1469,Josiane Nunes
1470,Marcel Fortuna
1471,Jordan Mein
1472,Aalon Cruz
1473,Rafael Dos Anjos
1474,Gillian Robertson
1475,Danny Silva
1476,Cezar Ferreira
1477,Mike Jackson
1478,Klidson Abreu
1479,Nick Diaz
1480,Nicolas Dalby
1481,Erick Gonzalez
1482,Jeff Hughes
1483,Azat Maksum
1484,Hannah Goldy
1485,Bryan Caraway
1486,Ashley Yoder
1487,Galore Bofando
1488,Omar Morales
1489,Ketlen Souza
1490,Corey Anderson
1491,Gilbert Melendez
1492,Jimmy Flick
1493,David Teymur
1494,Mike Perry
1495,Alexander Volkanovski
1496,Miranda Maverick
1497,Eddie Gordon
1498,Abdul-Kerim Edilov
1499,Jimi Manuwa
1500,Jonathan Meunier
1501,Stevie Ray
1502,Dwight Grant
1503,Daniel Teymur
1504,Hakeem Dawodu
1505,Gadzhi Omargadzhiev
1506,Luis Pajuelo
1507,Carlos Hernandez
1508,Jessica Eye
1509,Sam Sicilia
1510,Grant Dawson
1511,Bevon Lewis
1512,Dan Hooker
1513,Christian Leroy Duncan
1514,Dmitry Sosnovskiy
1515,Jafel Filho
1516,Dalcha Lungiambula
1517,Albert Duraev
1518,Jack Marshman
1519,Nicco Montano
1520,Danny Henry
1521,James Mulheron
1522,Denis Tiuliulin
1523,Michel Quinones
1524,Dongi Yang
1525,Jason Novelli
1526,Lukasz Brzeski
1527,Yazmin Jauregui
1528,Elias Silverio
1529,Tom Watson
1530,Jessica Andrade
1531,Joanderson Brito
1532,Julia Avila
1533,Shane Young
1534,Cheyanne Vlismas
1535,George Sullivan
1536,Sage Northcutt
1537,Peter Barrett
1538,Michal Oleksiejczuk
1539,Dustin Poirier
1540,Joseph Gigliotti
1541,Alex Morono
1542,Yui Chul Nam
1543,Mark De La Rosa
1544,Jenel Lausa
1545,Rhys McKee
1546,Dennis Buzukja
1547,Viscardi Andrade
1548,Kenny Robertson
1549,Claudio Ribeiro
1550,Joe Proctor
1551,Augusto Sakai
1552,Jodie Esquibel
1553,Katsunori Kikuno
1554,Sam Alvey
1555,Pete Rodriguez
1556,Pedro Falcao
1557,Sung Bin Jo
1558,Juancamilo Ronderos
1559,Alejandro Perez
1560,Randa Markos
1561,Chelsea Chandler
1562,Sabah Homasi
1563,Austin Arnett
1564,Luis Saldana
1565,Geraldo de Freitas
1566,Johnny Eduardo
1567,Dan Ige
1568,Henry Cejudo
1569,Rinat Fakhretdinov
1570,Lukasz Sajewski
1571,Jon Jones
1572,Viktor Pesta
1573,Juan Espino
1574,Gustavo Lopez
1575,Liana Jojua
1576,Mark Godbeer
1577,Denise Gomes
1578,Phil Hawes
1579,Gabriel Silva
1580,Vernon Ramos Ho
1581,Veronica Hardy
1582,Ariel Beck
1583,Leslie Smith
1584,Glover Teixeira
1585,Melissa Mullins
1586,Yves Jabouin
1587,Miguel Baeza
1588,Christian Colombo
1589,Shane Campbell
1590,Abdul-Kareem Al-Selwady
1591,Guram Kutateladze
1592,Elizeu Zaleski dos Santos
1593,Wuliji Buren
1594,Shara Magomedov
1595,Joilton Lutterbach
1596,Magomed Gadzhiyasulov
1597,Xiao Long
1598,ChangHo Lee
1599,Rei Tsuruya
1600,Lucas Rocha
1601,Ramazan Temirov
1602,Dan Argueta
1603,Cody Haddon
1604,Daniel Argueta
1605,Julia Polastri
1606,Klyer Phillips
1607,Joel Alvarez
1608,Navajo Stirling
1609,Tuco Tokkos
1610,Adrian Yanez
1611,Felipe Lima
1612,Cong Wang
1613,Lone'er Kavanagh
1614,Quang Le
1615,Talisson Teixeira
1616,Rizvan Kuniev
1617,Wang Cong
1618,Ozzy Diaz
1619,Baergen Jieleyisi
1620,Suyoung You
1621,Suyoung Yu
1622,Kiru Sahota
1623,Donghun Choi
1624,Ming Shi
1625,Feng Xiaocan
1626,Nyamjargal Tumendemberel
1627,Jose Ochoa
1628,Roberto Romero
1629,Reinier de Ridder
1630,Gaston Bolaños
1631,Cortavious Romious
1632,Mansur Abdul-Malik
1633,Zach Scroggin
1634,Antonio Trocoli
1635,Klaudia Sygula
1636,Austin Bashi
1637,Nicolle Caliari
1638,Andreas Gustafsson
1639,Bruno Lopes
1640,Marco Tulio
1641,Fatima Kline
1642,Kaan Ofli
1643,Hamdy Abdelwahab
1644,Bogdan Grad
1645,Stewart Nicoll
1646,Quillan Salkilld
1647,Tallison Teixeira
1648,Aleksandre Topuria
1649,Jose Delgado
1650,Nikolay Veretennikov
1651,Elijah Smith
1652,Islam Dulatov
1653,Raffael Cerqueira
1654,Zachary Scroggin
1655,Shi Ming
