Fighter Name
Talita Alencar
Tallison Teixeira
Tatiana Suarez
Tatsuro Taira
Tecia Pennington
Tereza Bleda
Themba Gorimbo
Thiago Moises
Thomas Petersen
Ti Haitao
Tim Elliott
Tim Means
Timmy Cuamba
Tofiq Musayev
Tom Aspinall
Tom Nolan
Torrez Finney
Toshiomi Kazama
Tracy Cortez
Tresean Gore
Trevin Giles
Trevor Peek
Trey Ogden
Trey Waters
Tuco Tokkos
Ty Miller
Umar Nurmagomedov
Uran Satybaldiev
Uros Medic
Vagner Rocha
Valentina Shevchenko
Valter Walker
Vanessa Demopoulos
Veronica Hardy
Viacheslav Borshchev
Vicente Luque
Victor Henry
Victor Martinez
Vince Morales
Vinicius Oliveira
Virna Jandiroba
Vitor Petrino
Viviane Araujo
Volkan Oezdemir
Wang Cong
Wataru Yamauchi
Weight Classes
Wellington Turman
Westin Wilson
William Gomis
Xiao Long
Yair Rodriguez
Yan Xiaonan
Yana Santos
Yanal Ashmouz
Yazmin Jauregui
Youssef Zalal
Yuneisy Duben
Yusaku Kinoshita
Zachary Reese
Zhang Mingyang
Zhang Qinghe
Zhang Weili
