Player,Date,Opponent,Event,Result,TDL,TDA,TD Acc.,TD Def.,Sub. Avg.,Sub. Attempts,Sub. Success Rate,Control Time,Ground Control %,Reversals,Sweeps
Bruna Brasil,2025-08-04,N/A,N/A,N/A,,12.0,0%,0%,0.0,0,0%,0,0%,0,0
Brunno Ferreira,2025-08-04,N/A,N/A,N/A,,14.0,0%,0%,0.0,0,0%,0,0%,0,0
Bruno Lopes,2025-08-04,N/A,N/A,N/A,5.0,15.0,0%,0%,0.0,0,0%,0,0%,0,0
Bryan Battle,2025-08-04,N/A,N/A,N/A,2.0,23.0,0%,0%,0.0,0,0%,0,0%,0,0
Bryce Mitchell,2025-08-04,N/A,N/A,N/A,3.0,83.0,0%,0%,0.0,0,0%,0,0%,0,0
Caio Borralho,2025-08-04,N/A,N/A,N/A,1.0,20.0,0%,0%,0.0,0,0%,0,0%,0,0
Calvin Kattar,2025-08-04,N/A,N/A,N/A,2.0,17.0,0%,0%,0.0,0,0%,0,0%,0,0
Cameron Saaiman,2025-08-04,N/A,N/A,N/A,,14.0,0%,0%,0.0,0,0%,0,0%,0,0
Cameron Smotherman,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Carli Judice,2025-08-04,N/A,N/A,N/A,2.0,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Carlos Leal,2025-08-04,N/A,N/A,N/A,1.0,4.0,0%,0%,0.0,0,0%,0,0%,0,0
Carlos Prates,2025-08-04,N/A,N/A,N/A,,1.0,0%,0%,0.0,0,0%,0,0%,0,0
Carlos Ulberg,2025-08-04,N/A,N/A,N/A,2.0,5.0,0%,0%,0.0,0,0%,0,0%,0,0
Carlos Vera,2025-08-04,N/A,N/A,N/A,,2.0,0%,0%,0.0,0,0%,0,0%,0,0
Carlston Harris,2025-08-04,N/A,N/A,N/A,,22.0,0%,0%,0.0,0,0%,0,0%,0,0
Cesar Almeida,2025-08-04,N/A,N/A,N/A,,2.0,0%,0%,0.0,0,0%,0,0%,0,0
Chad Anheliger,2025-08-04,N/A,N/A,N/A,,13.0,0%,0%,0.0,0,0%,0,0%,0,0
Charles Johnson,2025-08-04,N/A,N/A,N/A,,24.0,0%,0%,0.0,0,0%,0,0%,0,0
Charles Jourdain,2025-08-04,N/A,N/A,N/A,,19.0,0%,0%,0.0,0,0%,0,0%,0,0
Charles Oliveira,2025-08-04,N/A,N/A,N/A,26.0,99.0,0%,0%,0.0,0,0%,0,0%,0,0
Charles Radtke,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Charlie Campbell,2025-08-04,N/A,N/A,N/A,,10.0,0%,0%,0.0,0,0%,0,0%,0,0
Chase Hooper,2025-08-04,N/A,N/A,N/A,1.0,61.0,0%,0%,0.0,0,0%,0,0%,0,0
Chelsea Chandler,2025-08-04,N/A,N/A,N/A,,5.0,0%,0%,0.0,0,0%,0,0%,0,0
Chepe Mariscal,2025-08-04,N/A,N/A,N/A,4.0,33.0,0%,0%,0.0,0,0%,0,0%,0,0
Chidi Njokuani,2025-08-04,N/A,N/A,N/A,,5.0,0%,0%,0.0,0,0%,0,0%,0,0
Christian Leroy Duncan,2025-08-04,N/A,N/A,N/A,,9.0,0%,0%,0.0,0,0%,0,0%,0,0
Christian Rodriguez,2025-08-04,N/A,N/A,N/A,2.0,30.0,0%,0%,0.0,0,0%,0,0%,0,0
Chris Barnett,2025-08-04,N/A,N/A,N/A,,2.0,0%,0%,0.0,0,0%,0,0%,0,0
Chris Curtis,2025-08-04,N/A,N/A,N/A,,1.0,0%,0%,0.0,0,0%,0,0%,0,0
